crop,season,year,count
Tomato,Rabi,2024,574
Bhindi(Okra/Ladysfinger),Rabi,2024,358
Pomegranate,Rabi,2024,301
Chillies,Rabi,2024,710
Brinjal,Rabi,2024,527
Cotton (Kapas),Rabi,2024,1951
Pigeon pea (red gram/arhar/tur),Rabi,2024,3858
Soybean (bhat),Rabi,2024,680
Turmeric,Rabi,2024,454
Sugarcane (Noble Cane),Rabi,2013,4792
Bengal Gram (Gram/Chick Pea/Kabuli/Chana),Rabi,2013,7386
Maize (Makka),Rabi,2013,1080
Sorghum (Jowar/Great Millet),Rabi,2013,999
Other Named Crops,Kharif,2021,4268
Onion,Kharif,2021,2877
Soybean (bhat),Kharif,2021,1701
Chillies,Kharif,2021,537
Cotton (Kapas),Kharif,2021,4450
Pigeon pea (red gram/arhar/tur),Kharif,2021,1941
Maize (Makka),Kharif,2021,249
Tomato,Kharif,2021,334
Turmeric,Kharif,2010,123
Pigeon pea (red gram/arhar/tur),Kharif,2010,197
Pigeon pea (red gram/arhar/tur),Rabi,2010,349
Tomato,Kharif,2010,99
Chillies,Kharif,2010,130
Groundnut (pea nut/mung phalli),Kharif,2018,492
Watermelon,Kharif,2018,80
Chillies,Kharif,2012,176
Wheat,Zaid,2014,485
Turmeric,Rabi,2010,57
Chillies,Rabi,2010,107
Tomato,Rabi,2010,97
Wheat,Kharif,2010,174
Watermelon,Kharif,2010,17
Soybean (bhat),Rabi,2009,237
Brinjal,Kharif,2021,412
Sugarcane (Noble Cane),Kharif,2021,666
Turmeric,Kharif,2021,1195
Bengal Gram (Gram/Chick Pea/Kabuli/Chana),Kharif,2021,1050
Sorghum (Jowar/Great Millet),Kharif,2021,218
Bhindi(Okra/Ladysfinger),Kharif,2021,195
Pomegranate,Kharif,2021,195
Groundnut (pea nut/mung phalli),Kharif,2021,81
Brinjal,Kharif,2020,353
Tomato,Kharif,2020,430
Mango,Kharif,2021,147
Pigeon pea (red gram/arhar/tur),Rabi,2011,362
Onion,Rabi,2011,1164
Cotton (Kapas),Rabi,2011,1457
Other Named Crops,Rabi,2011,5410
Bhindi(Okra/Ladysfinger),Kharif,2012,24
Watermelon,Kharif,2012,58
Wheat,Kharif,2020,137
Watermelon,Kharif,2020,39
Soybean (bhat),Zaid,2010,819
Other Named Crops,Zaid,2010,5230
Cotton (Kapas),Zaid,2010,971
Onion,Zaid,2010,799
Cotton (Kapas),Zaid,2017,4268
Other Named Crops,Zaid,2017,7178
Tomato,Zaid,2017,975
Onion,Zaid,2017,1730
Groundnut (pea nut/mung phalli),Zaid,2017,1784
Sugarcane (Noble Cane),Zaid,2017,2553
Pigeon pea (red gram/arhar/tur),Zaid,2017,978
Turmeric,Zaid,2017,1116
Chillies,Zaid,2017,1375
Brinjal,Zaid,2017,1162
Soybean (bhat),Zaid,2017,1205
Bhindi(Okra/Ladysfinger),Zaid,2017,994
Maize (Makka),Zaid,2017,372
Pomegranate,Zaid,2017,1951
Bengal Gram (Gram/Chick Pea/Kabuli/Chana),Zaid,2017,1759
Mango,Zaid,2017,531
Watermelon,Zaid,2017,465
Sorghum (Jowar/Great Millet),Zaid,2017,164
Wheat,Kharif,2021,158
Other Named Crops,Zaid,2011,1909
Turmeric,Zaid,2011,97
Cotton (Kapas),Zaid,2011,944
Soybean (bhat),Zaid,2011,212
Tomato,Zaid,2011,73
Wheat,Zaid,2011,13
Pigeon pea (red gram/arhar/tur),Zaid,2011,26
Groundnut (pea nut/mung phalli),Zaid,2011,119
Onion,Zaid,2011,127
Watermelon,Zaid,2011,34
Chillies,Zaid,2011,32
Watermelon,Kharif,2021,27
Pigeon pea (red gram/arhar/tur),Rabi,2009,159
Groundnut (pea nut/mung phalli),Rabi,2009,42
Wheat,Zaid,2017,157
Groundnut (pea nut/mung phalli),Rabi,2011,378
Watermelon,Kharif,2015,109
Tomato,Zaid,2010,64
Pigeon pea (red gram/arhar/tur),Zaid,2010,128
Turmeric,Zaid,2010,116
Groundnut (pea nut/mung phalli),Zaid,2010,270
Chillies,Zaid,2010,97
Watermelon,Zaid,2010,64
Wheat,Zaid,2010,62
Other Named Crops,Rabi,2007,26
Wheat,Rabi,2007,8
Onion,Rabi,2007,10
Pigeon pea (red gram/arhar/tur),Rabi,2007,2
Cotton (Kapas),Rabi,2007,12
Watermelon,Rabi,2007,4
Wheat,Rabi,2011,806
Tomato,Rabi,2011,76
Watermelon,Rabi,2011,138
Turmeric,Rabi,2011,114
Chillies,Rabi,2011,70
Soybean (bhat),Rabi,2011,118
Other Named Crops,Kharif,2024,11077
Mango,Kharif,2024,386
Sugarcane (Noble Cane),Kharif,2024,1987
Pomegranate,Kharif,2024,556
Soybean (bhat),Kharif,2024,20331
Pigeon pea (red gram/arhar/tur),Kharif,2024,4281
Cotton (Kapas),Kharif,2024,20519
Maize (Makka),Kharif,2024,2605
Tomato,Kharif,2024,1190
Chillies,Kharif,2024,1259
Sorghum (Jowar/Great Millet),Kharif,2024,568
Groundnut (pea nut/mung phalli),Kharif,2024,479
Onion,Kharif,2024,4450
Bhindi(Okra/Ladysfinger),Kharif,2024,380
Brinjal,Kharif,2024,624
Watermelon,Kharif,2024,53
Turmeric,Kharif,2024,1547
Wheat,Kharif,2024,459
Bengal Gram (Gram/Chick Pea/Kabuli/Chana),Kharif,2024,1638
Turmeric,Rabi,2009,19
Bengal Gram (Gram/Chick Pea/Kabuli/Chana),Rabi,2025,2656
Soybean (bhat),Rabi,2025,262
Groundnut (pea nut/mung phalli),Rabi,2025,748
Pigeon pea (red gram/arhar/tur),Rabi,2025,899
Sorghum (Jowar/Great Millet),Rabi,2025,697
Other Named Crops,Rabi,2025,5046
Wheat,Rabi,2025,2252
Watermelon,Rabi,2025,506
Maize (Makka),Rabi,2025,932
Mango,Rabi,2025,454
Brinjal,Rabi,2025,319
Onion,Rabi,2025,2913
Cotton (Kapas),Rabi,2025,445
Chillies,Rabi,2025,421
Pomegranate,Rabi,2025,173
Sugarcane (Noble Cane),Rabi,2025,1486
Turmeric,Rabi,2025,237
Tomato,Rabi,2025,234
Bhindi(Okra/Ladysfinger),Rabi,2025,235
Watermelon,Kharif,2011,6
Chillies,Rabi,2009,19
Wheat,Zaid,2025,374
Bengal Gram (Gram/Chick Pea/Kabuli/Chana),Zaid,2025,323
Other Named Crops,Zaid,2025,3716
Cotton (Kapas),Zaid,2025,1013
Soybean (bhat),Zaid,2025,794
Pigeon pea (red gram/arhar/tur),Zaid,2025,376
Chillies,Zaid,2025,267
Onion,Zaid,2025,2330
Sugarcane (Noble Cane),Zaid,2025,1198
Brinjal,Zaid,2025,148
Sorghum (Jowar/Great Millet),Zaid,2025,757
Groundnut (pea nut/mung phalli),Zaid,2025,981
Watermelon,Zaid,2025,69
Turmeric,Zaid,2025,766
Bhindi(Okra/Ladysfinger),Zaid,2025,198
Pomegranate,Zaid,2025,151
Maize (Makka),Zaid,2025,795
Tomato,Zaid,2025,275
Mango,Zaid,2025,223
Soybean (bhat),Kharif,2025,12155
Cotton (Kapas),Kharif,2025,10177
Sugarcane (Noble Cane),Kharif,2025,1210
Pigeon pea (red gram/arhar/tur),Kharif,2025,1205
Groundnut (pea nut/mung phalli),Kharif,2025,321
Maize (Makka),Kharif,2025,2312
Sorghum (Jowar/Great Millet),Kharif,2025,110
Other Named Crops,Kharif,2025,7609
Tomato,Kharif,2025,406
Turmeric,Kharif,2025,895
Onion,Kharif,2025,711
Mango,Kharif,2025,186
Brinjal,Kharif,2025,203
Bhindi(Okra/Ladysfinger),Kharif,2025,241
Chillies,Kharif,2025,369
Pomegranate,Kharif,2025,150
Watermelon,Kharif,2025,8
Wheat,Kharif,2025,17
Bengal Gram (Gram/Chick Pea/Kabuli/Chana),Kharif,2025,88
Brinjal,Zaid,2012,9
Watermelon,Zaid,2012,6
Groundnut (pea nut/mung phalli),Rabi,2008,1
Watermelon,Kharif,2023,11
Groundnut (pea nut/mung phalli),Rabi,2007,4
Soybean (bhat),Rabi,2008,4
Soybean (bhat),Rabi,2007,1
Turmeric,Rabi,2008,1
Cotton (Kapas),Rabi,2008,1
