district,block,count
PARBHANI,GANGAKHED,19844
DHULE,SHIRPUR,11469
KOLHAPUR,GAGAN BAWADA,1355
AKOLA,MURTIJAPUR,14902
KOLHAPUR,KARVIR,9594
AURANGABAD,SILLOD,23659
JALNA,MANTHA,18538
KOLHAPUR,SHIROL,6530
JALNA,JAFRABAD,21339
AKOLA,AKOT,29326
YEVATMAL,KELAPUR,6527
SATARA,KARAD,12280
NAGPUR,MOUDA,4143
GADCHIROLI,SIRONCHA,484
AHMADNAGAR,NAGAR,26832
LATUR,DEONI,6474
GONDIYA,SALEKASA,1854
KOLHAPUR,KAGAL,10910
YEVATMAL,GHATANJI,14443
BEED,BEED,39409
YEVATMAL,ARNI,20388
YEVATMAL,YAVATMAL,14140
NANDURBAR,SHAHADA,4639
WARDHA,WARDHA,7655
BHANDARA,LAKHANDUR,4298
SINDHUDURG,KUDAL,819
KOLHAPUR,BHUDARGAD,3320
SANGLI,KHANAPUR-VITA,4825
NAGPUR,KALMESHWAR,5798
PUNE,BARAMATI,13197
SANGLI,KADEGAON,7043
BULDANA,NANDURA,22905
CHANDRAPUR,BRAHMAPURI,4206
GADCHIROLI,ARMORI,1573
AMRAVATI,CHANDUR BZ,14556
NAGPUR,HINGNA,5324
SOLAPUR,MANGALVEDHE,18567
AMRAVATI,BHATKULI,9393
BULDANA,DEULGAON RAJA,13052
CHANDRAPUR,JIWATI,3258
NANDED,ARDHAPUR,12162
SANGLI,MIRAJ,16569
BHANDARA,MOHADI,5168
OSMANABAD,WASHI,6536
KOLHAPUR,HATKANGALE,9780
AMRAVATI,ACHALPUR,18515
AMRAVATI,TIWSA,9073
PUNE,0,9543
GONDIYA,ARJUNI MORGAON,1569
NASIK,IGATPURI,7963
GADCHIROLI,CHAMORSHI,2600
CHANDRAPUR,CHIMUR,5978
SINDHUDURG,KANKAVALI,877
SANGLI,SHIRALA,5451
NANDED,DEGLUR,14323
AMRAVATI,DHARNI,1478
BHANDARA,LAKHANI,4380
AMRAVATI,MORSHI,16999
AMRAVATI,DHAMANGAON RIL,9617
JALGAON,RAVER,4809
NANDED,NAIGAON (KH),13132
SATARA,WAI,5054
BULDANA,SANGRAMPUR,15552
NASIK,KALWAN,8875
CHANDRAPUR,SAOLI,1364
RAIGARH,KARJAT,206
NAGPUR,KUHI,6555
NANDURBAR,TALODA,704
YEVATMAL,BABHULGAON,6719
SOLAPUR,MOHOL,34356
CHANDRAPUR,SINDEWAHI,2245
NANDURBAR,NANDURBAR,6518
PUNE,HAVELI,8572
SINDHUDURG,VENGURLA,525
NAGPUR,BHIVAPUR,3871
KOLHAPUR,GADHINGLAJ,3960
NASIK,0,17410
GONDIYA,TIRORA,2494
GONDIYA,SADAK ARJUNI,1524
CHANDRAPUR,CHANDRAPUR,3577
THANE,SHAHAPUR,1414
RAIGARH,MANGAON,411
KOLHAPUR,CHANDGAD,4531
GADCHIROLI,GADCHIROLI,2414
AMRAVATI,CHANDUR RIL,9029
JALGAON,CHOPDA,10285
PALGHAR,PALGHAR,760
RATNAGIRI,GUHAGAR,462
YEVATMAL,ZARI JAMNI,3211
NASIK,DEOLA,16567
PUNE,BHOR,5438
THANE,THANE,1042
SOLAPUR,MALSHIRAS,25292
RAIGARH,4526,367
WARDHA,ARVI,8988
SATARA,MAN,6553
AHMADNAGAR,0,68020
YEVATMAL,RALEGAON,7156
RATNAGIRI,DAPOLI,649
CHANDRAPUR,BHADRAWATI,3101
CHANDRAPUR,NAGBHID,2529
AURANGABAD,0,43373
WARDHA,SAMUDRAPUR,6277
