district,year,month,count
GADCHIROLI,2017,12,50
THANE,2017,12,78
OSMANABAD,2017,12,1472
AMRAVATI,2017,12,1434
GONDIYA,2017,12,147
BHANDARA,2017,12,151
MUMBAI,2015,11,39
THANE,2019,6,79
SINDHUDURG,2019,6,31
PUNE,2018,3,943
AMRAVATI,2018,3,967
AURANGABAD,2018,3,1591
SOLAPUR,2018,3,2337
PARBHANI,2018,3,1346
AHMADNAGAR,2018,3,2682
HINGOLI,2018,3,1134
YEVATMAL,2018,3,1517
NANDED,2018,3,1757
NASIK,2018,3,2112
LATUR,2018,3,1076
BEED,2018,3,1762
BULDANA,2018,3,1979
JALGAON,2018,3,867
JALNA,2018,3,1438
OSMANABAD,2018,3,1098
NAGPUR,2018,3,465
WASHIM,2018,3,966
KOLHAPUR,2018,3,474
WARDHA,2018,3,300
SANGLI,2018,3,566
NANDURBAR,2018,3,76
AKOLA,2018,3,994
BHANDARA,2018,3,213
SATARA,2018,3,509
SINDHUDURG,2015,11,38
SOLAPUR,2023,6,933
BHANDARA,2023,6,201
RAIGARH,2023,6,20
PALGHAR,2019,6,19
RAIGARH,2016,3,83
NASIK,2023,6,661
NANDURBAR,2016,3,211
RATNAGIRI,2016,3,102
MUMBAI,2016,3,110
0,2019,6,19
SINDHUDURG,2016,3,97
SATARA,2023,6,202
CHANDRAPUR,2013,9,335
AKOLA,2013,9,1057
PARBHANI,2013,9,1685
LATUR,2013,9,751
PUNE,2013,9,667
NASIK,2013,9,1936
YEVATMAL,2013,9,1361
AHMADNAGAR,2013,9,3211
SANGLI,2013,9,558
NANDED,2013,9,2163
SATARA,2013,9,411
JALGAON,2013,9,1331
HINGOLI,2013,9,1339
BEED,2013,9,2684
JALNA,2013,9,2397
AURANGABAD,2013,9,2466
BULDANA,2013,9,2145
KOLHAPUR,2013,9,280
OSMANABAD,2013,9,1356
WARDHA,2013,9,543
YEVATMAL,2022,11,644
AHMADNAGAR,2022,11,692
PUNE,2022,11,312
SOLAPUR,2022,11,732
SANGLI,2022,11,257
AURANGABAD,2022,11,486
BULDANA,2022,11,771
WASHIM,2022,11,441
SATARA,2022,11,220
NANDED,2022,11,779
OSMANABAD,2022,11,345
PARBHANI,2022,11,404
DHULE,2022,11,331
JALGAON,2022,11,359
BEED,2022,11,577
KOLHAPUR,2022,11,200
LATUR,2022,11,410
AKOLA,2022,11,349
NAGPUR,2022,11,250
JALNA,2022,11,468
NASIK,2022,11,412
HINGOLI,2022,11,276
AMRAVATI,2020,12,756
BULDANA,2020,12,935
AKOLA,2020,12,653
BEED,2020,12,822
BHANDARA,2020,12,99
AURANGABAD,2020,12,983
NASIK,2020,12,1028
HINGOLI,2020,12,461
AHMADNAGAR,2020,12,1243
WASHIM,2020,12,710
JALGAON,2020,12,686
PUNE,2020,12,580
YEVATMAL,2020,12,858
WARDHA,2020,12,278
SOLAPUR,2020,12,1113
OSMANABAD,2020,12,457
PARBHANI,2020,12,624
LATUR,2020,12,462
DHULE,2020,12,288
SATARA,2020,12,369
NANDED,2020,12,964
KOLHAPUR,2020,12,285
SANGLI,2020,12,395
CHANDRAPUR,2020,12,187
NAGPUR,2020,12,333
SINDHUDURG,2020,12,36
RAIGARH,2020,12,59
AMRAVATI,2022,11,646
BHANDARA,2022,11,61
NANDURBAR,2022,11,55
CHANDRAPUR,2022,11,111
RATNAGIRI,2022,11,20
GADCHIROLI,2022,11,16
THANE,2022,11,28
WARDHA,2022,11,172
SINDHUDURG,2022,11,25
RAIGARH,2022,11,8
NANDURBAR,2023,6,49
SINDHUDURG,2023,6,14
GONDIYA,2022,11,32
SOLAPUR,2022,5,694
AMRAVATI,2022,5,488
AHMADNAGAR,2022,5,497
BEED,2022,5,392
DHULE,2022,5,166
AURANGABAD,2022,5,327
SANGLI,2022,5,205
BULDANA,2022,5,373
JALNA,2022,5,260
GADCHIROLI,2023,6,98
HINGOLI,2018,11,513
DHULE,2018,11,159
YEVATMAL,2018,11,958
NANDED,2018,11,1152
AKOLA,2018,11,584
AURANGABAD,2018,11,701
WARDHA,2018,11,200
JALGAON,2018,11,479
BULDANA,2018,11,1129
SANGLI,2018,11,407
NASIK,2018,11,926
LATUR,2018,11,576
WASHIM,2018,11,836
SOLAPUR,2018,11,1277
OSMANABAD,2018,11,554
JALNA,2018,11,683
SATARA,2018,11,295
KOLHAPUR,2018,11,192
AMRAVATI,2018,11,550
THANE,2023,6,29
BEED,2018,11,659
AHMADNAGAR,2018,11,1026
PUNE,2018,11,484
NAGPUR,2018,11,236
PARBHANI,2018,11,766
JALNA,2020,12,757
RATNAGIRI,2020,12,49
GADCHIROLI,2020,12,31
GONDIYA,2020,12,57
THANE,2020,12,53
